exercise,wrist_left_x,wrist_left_y,wrist_right_x,wrist_right_y,elbow_left_x,elbow_left_y,elbow_right_x,elbow_right_y,shoulder_left_x,shoulder_left_y,shoulder_right_x,shoulder_right_y,hip_left_x,hip_left_y,hip_right_x,hip_right_y,knee_left_x,knee_left_y,knee_right_x,knee_right_y,ankle_left_x,ankle_left_y,ankle_right_x,ankle_right_y
squats,0.709585249,0.520323038,0.591214359,0.521286428,0.707605958,0.417614818,0.600193143,0.417693734,0.703085065,0.304083347,0.614464819,0.302832276,0.680837691,0.536788404,0.625660837,0.528936565,0.695005953,0.712743878,0.613953352,0.711990714,0.714191079,0.866927385,0.5977844,0.881609261
squats,0.709387422,0.520132542,0.590859771,0.521599472,0.707118452,0.415748358,0.600266576,0.418069094,0.702968419,0.301967144,0.61432004,0.302403361,0.680642068,0.53492713,0.625644147,0.528349638,0.695175409,0.71274513,0.614177048,0.712901294,0.714830756,0.867775559,0.598829389,0.881605327
squats,0.709359705,0.524304271,0.589981377,0.5234496,0.707122266,0.416382462,0.60031265,0.41874364,0.702926755,0.301351339,0.614226043,0.301809192,0.680642009,0.533036411,0.625653028,0.527293921,0.695262313,0.712639451,0.614321291,0.713157475,0.715242922,0.86803925,0.599608183,0.882568717
squats,0.711525679,0.532406449,0.588944793,0.528113365,0.707888961,0.419486195,0.600083947,0.421396673,0.702102482,0.301335126,0.613652408,0.301811218,0.680245996,0.531757236,0.625665545,0.527002633,0.695274651,0.71257937,0.614345908,0.713221729,0.715404332,0.868021846,0.600129962,0.882401824
squats,0.715379536,0.535651624,0.58856988,0.532333434,0.708797753,0.422046244,0.599744499,0.422439635,0.701033533,0.301363975,0.613318443,0.302156597,0.679788232,0.529140234,0.625819623,0.525987148,0.695336282,0.710956514,0.614460349,0.713168621,0.715859175,0.868020594,0.600449979,0.882631958
squats,0.718841136,0.5393067,0.587779164,0.53499192,0.710970938,0.425839603,0.597981215,0.423347622,0.700667918,0.302306145,0.613150656,0.302638441,0.679569483,0.529359877,0.625979483,0.526058555,0.695408165,0.710971951,0.614456832,0.713288009,0.716384828,0.868951082,0.600432932,0.884021401
squats,0.719865263,0.538354158,0.586185038,0.535095751,0.71318543,0.425897747,0.594202995,0.424265385,0.700326204,0.303298771,0.612664759,0.303451389,0.679392457,0.529535413,0.626050532,0.526140094,0.695521772,0.711045086,0.614457548,0.713428557,0.716588378,0.869382858,0.600405276,0.884343266
squats,0.72243464,0.53533262,0.585933685,0.534911156,0.716554105,0.425551832,0.592083991,0.425131887,0.70036,0.30656895,0.612650573,0.305906296,0.679461777,0.52967453,0.626467407,0.526833415,0.696004868,0.711058438,0.61450386,0.713494897,0.716881394,0.870308816,0.600380778,0.884615183
squats,0.725718498,0.526451349,0.586033642,0.533371508,0.720182717,0.425052643,0.591366827,0.425035417,0.700417876,0.308941334,0.612653136,0.307842284,0.679648578,0.530355036,0.627379596,0.528535903,0.697194993,0.711472034,0.61451441,0.713921487,0.71730262,0.871690154,0.60045588,0.88458401
squats,0.727459192,0.506509662,0.589915693,0.519994557,0.723377764,0.419554442,0.590448618,0.424185395,0.700496495,0.310592294,0.612671971,0.310934991,0.680385709,0.531602263,0.628100157,0.531283379,0.698451757,0.712825358,0.614536583,0.715162754,0.717772245,0.872575343,0.600551605,0.885007024
squats,0.72575289,0.483888477,0.598905385,0.508388638,0.725293756,0.413331717,0.589529693,0.42413646,0.700848401,0.315428555,0.61290133,0.316164166,0.681333542,0.534389079,0.628558576,0.534931362,0.6999349,0.71377033,0.614677489,0.715944588,0.717772663,0.872526288,0.600729823,0.884908736
squats,0.725593269,0.464010775,0.607099712,0.486651331,0.729111969,0.413907558,0.589195609,0.425686866,0.702219784,0.32052058,0.613299966,0.324073523,0.682086527,0.538896203,0.629489839,0.539946258,0.70140183,0.714313745,0.6147964,0.716585696,0.71773237,0.87248069,0.601460397,0.884109497
squats,0.720694304,0.446790099,0.612996101,0.466072708,0.733187437,0.424748987,0.587811708,0.435075104,0.703382254,0.328079283,0.613609314,0.331941813,0.682180107,0.54573667,0.629490554,0.5436216,0.703548789,0.714983344,0.614665449,0.718723834,0.717716515,0.870982468,0.601955116,0.883254707
squats,0.712863088,0.437412202,0.62251085,0.457040161,0.736513197,0.436360866,0.587623715,0.445098639,0.704159081,0.337531358,0.614165366,0.338917583,0.682163537,0.553940058,0.629313409,0.550771177,0.705891192,0.717753291,0.614310205,0.721274734,0.717724264,0.870983303,0.601936996,0.882986307
squats,0.704963326,0.431395143,0.630022824,0.44293043,0.736171007,0.445910066,0.587997258,0.457099766,0.705166996,0.348433197,0.615774333,0.350387603,0.682147443,0.560510218,0.629285157,0.556938648,0.708017409,0.718837321,0.613634944,0.723511159,0.717674196,0.871000826,0.601915896,0.88303268
squats,0.700250387,0.424990296,0.639990985,0.436824381,0.736605525,0.448959738,0.58803618,0.460825354,0.705566466,0.356782556,0.617537737,0.359145045,0.682053745,0.564643025,0.62902987,0.561619043,0.710587263,0.718959808,0.61246568,0.726711631,0.717379987,0.870411754,0.601898909,0.882417738
squats,0.696784019,0.420749694,0.644555748,0.434766233,0.737371862,0.457643569,0.588129759,0.466243982,0.706017911,0.367153913,0.619882703,0.367398322,0.682147264,0.572395504,0.629027724,0.569549024,0.712490141,0.72000128,0.611130834,0.73018676,0.717315018,0.870204091,0.60188669,0.882435322
squats,0.692994058,0.418462753,0.650817692,0.430595666,0.73718369,0.46528405,0.590131044,0.472067982,0.705963135,0.381629199,0.621565998,0.380241305,0.6821419,0.578728259,0.629197061,0.577156842,0.71357739,0.720424652,0.610558748,0.732108712,0.717308819,0.870028555,0.601875067,0.88271457
squats,0.692859769,0.420295656,0.65275234,0.433312833,0.737788558,0.473885387,0.593065798,0.481100589,0.705559015,0.392187417,0.623446882,0.392030567,0.682029963,0.584869802,0.629354715,0.583228827,0.715228438,0.720884562,0.609903991,0.734290481,0.717302918,0.869967341,0.601886868,0.882634282
squats,0.690559804,0.422426373,0.656242192,0.433474362,0.737581253,0.480235964,0.596245587,0.487854809,0.705233216,0.405411452,0.624229014,0.404030263,0.682020843,0.591729701,0.629685938,0.590422571,0.716012895,0.721697807,0.609241724,0.736247599,0.717116177,0.871375799,0.601879776,0.882566988
squats,0.687363327,0.424594373,0.657479525,0.436697215,0.737490654,0.488932133,0.598997831,0.496469736,0.705110252,0.416633278,0.624286771,0.41560182,0.681753039,0.596357405,0.629761517,0.594639242,0.716798067,0.72361654,0.608932912,0.737017691,0.716860831,0.87257421,0.602141023,0.882609844
squats,0.685126126,0.426669985,0.657197952,0.439662218,0.737164736,0.498783648,0.600454271,0.505645871,0.705074608,0.426125497,0.624627948,0.423882753,0.681632459,0.60142678,0.62994802,0.599764049,0.716803789,0.723948479,0.608914495,0.736181915,0.716763377,0.872222662,0.602084816,0.882043123
squats,0.686479807,0.440051854,0.657097995,0.450177372,0.737104118,0.510034502,0.601043463,0.515554011,0.705042005,0.432935506,0.624946654,0.43191582,0.681700051,0.60427469,0.630631208,0.602719545,0.716818154,0.724490881,0.608771384,0.735947847,0.716561973,0.871832311,0.602088153,0.881607234
squats,0.685869396,0.449293435,0.657231331,0.459738553,0.736935019,0.517405868,0.60139519,0.526702166,0.704603076,0.443338335,0.62478739,0.441780895,0.681698501,0.609055519,0.631130338,0.607019186,0.717013359,0.725444138,0.608320475,0.736449718,0.716560066,0.871650994,0.602091193,0.879921019
squats,0.685121238,0.458904505,0.656953931,0.469399869,0.736717761,0.523717165,0.601705551,0.532048821,0.704592466,0.450290263,0.624986768,0.446432799,0.681540191,0.615335345,0.631331682,0.61247164,0.716982186,0.726060629,0.607802629,0.73704648,0.716387987,0.872070014,0.602096677,0.880324304
